Landscape,ForestCover,Point,Forest300,Dist,coffee300,Branch,BranchReplicate,TotalFruits,CBB,Sub_Fruto,Bean,BeanSize,BeanDamage,BeanDamage_Percentage,Adults,Brood,id
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,1,a,6,6,100,1,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,1,b,6,6,100,0,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,2,a,9,9,100,7,1,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,2,b,9,9,100,0,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,3,a,9,9,100,1,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,3,b,9,9,100,0,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,4,a,11,11,100,10,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T2,26,4,4,b,11,11,100,0,0,P9_10_T2
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,1,a,8,8,100,0,0,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,1,b,8,8,100,0,0,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,2,a,9,9,100,9,1,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,2,b,9,9,100,0,0,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,3,a,8,8,100,1,0,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T4,17,3,3,b,8,8,100,0,0,P9_10_T4
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,1,a,10,5,50,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,1,b,10,0,0,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,2,a,10,10,100,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,2,b,10,10,100,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,3,a,10,4,40,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,3,b,10,9,90,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,4,a,10,9,90,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,4,b,10,0,0,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,5,a,10,4,40,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,5,b,10,0,0,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,6,a,8,8,100,3,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,6,b,8,0,0,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,7,a,9,9,100,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,7,b,9,9,100,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,8,a,8,5,62.5,1,1,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,8,b,NA,NA,NA,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,9,a,7,6,85.71428571,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,9,b,NA,NA,NA,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,10,a,8,5,62.5,1,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,10,b,NA,NA,NA,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,11,a,6,6,100,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T7,17,11,11,b,6,6,100,0,0,P9_10_T7
P9,13.59,10,16.96,46.1,52.1,T,T8,17,1,1,a,6,6,100,0,0,P9_10_T8
P9,13.59,10,16.96,46.1,52.1,T,T8,17,1,1,b,NA,NA,NA,0,0,P9_10_T8
P9,13.59,10,16.96,46.1,52.1,T,T10,30,1,1,a,10,10,100,0,0,P9_10_T10
P9,13.59,10,16.96,46.1,52.1,T,T10,30,1,1,b,10,10,100,0,0,P9_10_T10
P9,13.59,10,16.96,46.1,52.1,C,C2,27,5,1,a,9,3,33.33333333,1,0,P9_10_C2
P9,13.59,10,16.96,46.1,52.1,C,C2,27,5,1,b,9,0,0,0,0,P9_10_C2
P9,13.59,10,16.96,46.1,52.1,C,C2,27,5,2,a,12,1,8.333333333,0,0,P9_10_C2
P9,13.59,10,16.96,46.1,52.1,C,C2,27,5,2,b,12,0,0,0,0,P9_10_C2
P9,13.59,10,16.96,46.1,52.1,C,C4,15,2,1,a,9,3,33.33333333,1,0,P9_10_C4
P9,13.59,10,16.96,46.1,52.1,C,C4,15,2,1,b,9,0,0,0,0,P9_10_C4
P9,13.59,10,16.96,46.1,52.1,C,C4,15,2,2,a,NA,NA,NA,NA,NA,P9_10_C4
P9,13.59,10,16.96,46.1,52.1,C,C4,15,2,2,b,NA,NA,NA,NA,NA,P9_10_C4
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,1,a,9,9,100,8,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,1,b,9,5,55.55555556,3,1,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,2,a,10,5,50,0,1,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,2,b,10,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,3,a,11,4,36.36363636,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,3,b,11,1,9.090909091,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,4,a,9,1,11.11111111,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,4,b,9,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,5,a,NA,NA,NA,NA,NA,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,5,b,NA,NA,NA,NA,NA,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,6,a,9,2,22.22222222,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,6,b,NA,NA,NA,NA,NA,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,7,a,11,3,27.27272727,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,7,b,11,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,8,a,10,10,100,2,1,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,8,b,10,10,100,2,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,9,a,9,4,44.44444444,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,9,b,NA,NA,NA,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,10,a,10,1,10,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,10,b,10,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,11,a,10,1,10,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,11,b,10,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,12,a,10,4,40,1,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C6,47,14,12,b,10,0,0,0,0,P9_10_C6
P9,13.59,10,16.96,46.1,52.1,C,C7,22,1,1,a,8,4,50,1,0,P9_10_C7
P9,13.59,10,16.96,46.1,52.1,C,C7,22,1,1,b,8,0,0,0,0,P9_10_C7
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,1,a,11,4,36.36363636,1,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,1,b,11,4,36.36363636,0,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,2,a,12,12,100,3,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,2,b,NA,NA,NA,NA,NA,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,3,a,10,1,10,1,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,3,b,10,0,0,0,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,4,a,11,2,18.18181818,1,0,P9_10_C9
P9,13.59,10,16.96,46.1,52.1,C,C9,18,4,4,b,NA,NA,NA,NA,NA,P9_10_C9
P9,13.59,30,14.99,5,55.58,T,T2,9,1,1,a,11,11,100,0,0,P9_30_T2
P9,13.59,30,14.99,5,55.58,T,T2,9,1,1,b,11,11,100,0,0,P9_30_T2
P9,13.59,30,14.99,5,55.58,T,T3,31,3,1,a,11,3,27.27272727,1,0,P9_30_T3
P9,13.59,30,14.99,5,55.58,T,T3,31,3,1,b,11,0,0,0,0,P9_30_T3
P9,13.59,30,14.99,5,55.58,T,T3,31,3,2,a,11,4,36.36363636,1,1,P9_30_T3
P9,13.59,30,14.99,5,55.58,T,T3,31,3,2,b,11,0,0,0,0,P9_30_T3
